2019-03-24 16:25:16,b'hi do you miss me? U+1F601'
2019-03-24 15:15:10,b'hey can you come over? U+1F601'
2019-03-24 14:45:16,b'hey I miss you U+1F601'
2019-03-24 14:15:17,b'hey what you doing? U+1F601'
2019-03-24 13:15:36,b'hey baby can you come over? U+1F601'
2019-03-24 13:05:21,b'hey do you miss me? U+1F601'
2019-03-24 12:35:23,b'umm wyd? U+1F601'
2019-03-24 12:05:05,"b""hey I'm lonely U+1F601"""
2019-03-24 11:45:49,"b""wtf I'm lonely U+1F601"""
2019-03-24 10:54:58,b'umm what you doing? U+1F601'
2019-03-24 10:45:42,b'listen do you miss me? U+1F601'
2019-03-24 10:25:06,b'listen I miss you U+1F601'
2019-03-24 09:35:07,b'umm do you miss me? U+1F601'
2019-03-24 09:05:04,b'hi wyd? U+1F601'
2019-03-24 08:24:59,b'hi I miss you U+1F601'
2019-03-24 07:55:17,b'hey baby I miss you U+1F601'
2019-03-24 07:24:57,b'umm I miss you U+1F601'
2019-03-24 07:05:02,b'wtf I miss you U+1F601'
2019-03-24 06:24:52,"b""hey baby I'm lonely U+1F601"""
2019-03-24 06:15:07,b'wtf can you come over? U+1F601'
2019-03-24 05:54:57,b'umm can you come over? U+1F601'
2019-03-24 05:04:59,b'listen can you come over? U+1F601'
2019-03-24 04:05:04,b'listen wyd? U+1F601'
2019-03-24 03:45:09,b'hi do you miss me? U+1F601'
2019-03-24 02:35:25,b'hey I miss you U+1F601'
2019-03-24 02:05:06,"b""hi I'm lonely U+1F601"""
2019-03-24 01:55:14,b'hey baby do you miss me? U+1F601'
2019-03-24 01:17:20,"b""RT @robort0101: listen I'm lonely U+1F601"""
2019-03-24 01:15:05,"b""listen I'm lonely U+1F601"""
2019-03-24 00:54:58,b'hi can you come over? U+1F601'
2019-03-24 00:35:09,b'hey baby what you doing? U+1F601'
2019-03-23 23:45:21,b'wtf wyd? U+1F601'
2019-03-23 23:25:17,b'wtf what you doing? U+1F601'
2019-03-23 22:45:26,b'hey baby can you come over? U+1F601'
2019-03-23 22:25:15,b'hey do you miss me? U+1F601'
2019-03-23 20:05:10,b'hi what you doing? U+1F601'
2019-03-23 19:55:07,b'listen what you doing? U+1F601'
2019-03-23 19:45:36,b'umm wyd? U+1F601'
2019-03-23 19:36:08,b'umm do you miss me? U+1F601'
2019-03-23 18:35:30,b'hey what you doing? U+1F601'
2019-03-23 18:15:25,b'hey can you come over? U+1F601'
2019-03-23 18:05:27,b'wtf do you miss me? U+1F601'
2019-03-23 17:56:11,b'umm I miss you U+1F601'
2019-03-23 17:45:24,"b""hey I'm lonely U+1F601"""
2019-03-23 17:01:22,b'wtf can you come over? U+1F601'
2019-03-23 16:35:45,b'umm what you doing? U+1F601'
2019-03-23 16:25:27,"b""hey baby I'm lonely U+1F601"""
2019-03-23 15:16:52,b'hi wyd? U+1F601'
2019-03-23 14:55:08,b'hey what you doing? U+1F601'
2019-03-23 14:08:20,b'hey I miss you U+1F601'
2019-03-23 13:56:23,"b""wtf I'm lonely U+1F601"""
2019-03-23 13:45:35,b'listen wyd? U+1F601'
2019-03-23 13:36:12,b'hey baby do you miss me? U+1F601'
2019-03-23 12:46:35,b'hi I miss you U+1F601'
2019-03-23 11:56:08,b'hey baby wyd? U+1F601'
2019-03-23 11:15:08,b'listen can you come over? U+1F601'
2019-03-23 11:05:04,b'umm I miss you U+1F601'
2019-03-23 10:54:59,b'wtf I miss you U+1F601'
2019-03-23 10:24:52,b'hey do you miss me? U+1F601'
2019-03-23 09:55:03,b'umm do you miss me? U+1F601'
2019-03-23 09:36:24,b'wtf wyd? U+1F601'
2019-03-23 09:25:03,b'hey wyd? U+1F601'
2019-03-23 08:36:21,"b""umm I'm lonely U+1F601"""
2019-03-23 07:56:16,b'umm wyd? U+1F601'
2019-03-23 07:05:00,b'hey baby what you doing? U+1F601'
2019-03-23 06:56:13,"b""listen I'm lonely U+1F601"""
2019-03-23 06:35:26,b'umm can you come over? U+1F601'
2019-03-23 06:16:06,b'listen what you doing? U+1F601'
2019-03-23 05:44:55,b'hi can you come over? U+1F601'
2019-03-23 05:05:15,b'hey baby I miss you U+1F601'
2019-03-23 04:44:59,b'listen do you miss me? U+1F601'
2019-03-23 04:35:02,"b""hi I'm lonely U+1F601"""
2019-03-23 03:15:33,b'listen I miss you U+1F601'
2019-03-23 03:06:19,b'wtf can you come over? U+1F601'
2019-03-23 02:56:17,b'hi wyd? U+1F601'
2019-03-23 02:15:24,b'umm what you doing? U+1F601'
2019-03-23 01:35:07,b'hi do you miss me? U+1F601'
2019-03-23 01:17:15,"b""RT @robort0101: hey I'm lonely U+1F601"""
2019-03-23 01:16:18,"b""hey I'm lonely U+1F601"""
2019-03-23 00:15:35,b'hey can you come over? U+1F601'
2019-03-22 23:46:24,b'listen wyd? U+1F601'
2019-03-22 23:41:24,"b""hey baby I'm lonely U+1F601"""
2019-03-22 23:05:30,b'hi what you doing? U+1F601'
2019-03-22 22:56:10,b'hey baby can you come over? U+1F601'
2019-03-22 22:35:11,b'hey I miss you U+1F601'
2019-03-22 22:05:15,b'umm I miss you U+1F601'
2019-03-22 21:05:19,b'wtf what you doing? U+1F601'
2019-03-22 20:45:20,b'hi I miss you U+1F601'
2019-03-22 19:05:48,b'umm do you miss me? U+1F601'
2019-03-22 17:55:04,b'hey baby what you doing? U+1F601'
2019-03-22 17:14:59,b'wtf I miss you U+1F601'
2019-03-22 16:54:58,b'wtf wyd? U+1F601'
2019-03-22 16:46:10,b'hey baby do you miss me? U+1F601'
2019-03-22 16:15:09,b'hi can you come over? U+1F601'
2019-03-22 16:05:04,b'hey wyd? U+1F601'
2019-03-22 15:16:12,b'wtf do you miss me? U+1F601'
2019-03-22 14:15:50,b'umm can you come over? U+1F601'
2019-03-22 13:44:37,b'listen can you come over? U+1F601'
2019-03-22 13:34:40,"b""listen I'm lonely U+1F601"""
2019-03-22 13:26:55,b'hey do you miss me? U+1F601'
2019-03-22 13:17:34,"b""RT @robort0101: umm I'm lonely U+1F601"""
2019-03-22 13:16:45,"b""umm I'm lonely U+1F601"""
2019-03-22 12:47:29,"b""hey I'm lonely U+1F601"""
2019-03-22 12:26:50,"b""hi I'm lonely U+1F601"""
2019-03-22 11:16:56,b'wtf can you come over? U+1F601'
2019-03-22 10:25:45,b'hey baby wyd? U+1F601'
2019-03-22 09:24:44,b'listen do you miss me? U+1F601'
2019-03-22 08:54:48,b'umm do you miss me? U+1F601'
2019-03-22 08:44:44,b'listen what you doing? U+1F601'
2019-03-22 08:34:55,b'hi I miss you U+1F601'
2019-03-22 07:24:30,"b""hey baby I'm lonely U+1F601"""
2019-03-22 06:54:36,b'listen I miss you U+1F601'
2019-03-22 06:45:35,b'hey baby can you come over? U+1F601'
2019-03-22 06:35:24,b'umm what you doing? U+1F601'
2019-03-22 05:35:45,b'wtf can you come over? U+1F601'
2019-03-22 05:26:45,"b""listen I'm lonely U+1F601"""
2019-03-22 04:56:52,b'hey baby can you come over? U+1F601'
2019-03-22 04:45:45,b'hi do you miss me? U+1F601'
2019-03-22 04:06:07,b'hey baby what you doing? U+1F601'
2019-03-22 03:25:52,"b""hi I'm lonely U+1F601"""
2019-03-22 02:24:31,b'wtf do you miss me? U+1F601'
2019-03-22 02:14:50,"b""hey I'm lonely U+1F601"""
2019-03-22 02:05:29,b'listen wyd? U+1F601'
2019-03-22 01:54:27,b'hey baby do you miss me? U+1F601'
2019-03-22 01:44:34,b'hey what you doing? U+1F601'
2019-03-22 00:54:39,b'hi what you doing? U+1F601'
2019-03-22 00:44:33,b'hey I miss you U+1F601'
2019-03-22 00:24:23,b'hi wyd? U+1F601'
2019-03-21 23:54:38,b'wtf I miss you U+1F601'
2019-03-21 23:25:35,b'hey wyd? U+1F601'
2019-03-21 22:44:28,b'hey baby what you doing? U+1F601'
2019-03-21 22:35:37,b'hey do you miss me? U+1F601'
2019-03-21 22:14:38,b'hi can you come over? U+1F601'
2019-03-21 21:54:35,b'hey can you come over? U+1F601'
2019-03-21 21:04:44,"b""umm I'm lonely U+1F601"""
2019-03-21 16:25:34,"b""hey baby I'm lonely U+1F601"""
